# material=Mg density=1.738
# Photon Energy [eV]  Attenuation Length [um]
1.466970e+04 8.996320e+02
1.490240e+04 9.439271e+02
1.513880e+04 9.904433e+02
1.537900e+04 1.039298e+03
1.562300e+04 1.090603e+03
1.587080e+04 1.144484e+03
1.612260e+04 1.201079e+03
1.637840e+04 1.260528e+03
1.663820e+04 1.322973e+03
1.690210e+04 1.388566e+03
1.717030e+04 1.457489e+03
1.744270e+04 1.529891e+03
1.771940e+04 1.605964e+03
1.800050e+04 1.685897e+03
1.828610e+04 1.769893e+03
1.857610e+04 1.858152e+03
1.887080e+04 1.950921e+03
1.917020e+04 2.048421e+03
1.947430e+04 2.150896e+03
1.978330e+04 2.258618e+03
2.009710e+04 2.371608e+03
2.041600e+04 2.490596e+03
2.073980e+04 2.615598e+03
2.106890e+04 2.746972e+03
2.140310e+04 2.884998e+03
2.174270e+04 3.030065e+03
2.208760e+04 3.182494e+03
2.243800e+04 3.342691e+03
2.279390e+04 3.511047e+03
2.315560e+04 3.688009e+03
2.352290e+04 3.873986e+03
2.389610e+04 4.069477e+03
2.427520e+04 4.274941e+03
2.466030e+04 4.490923e+03
2.505150e+04 4.717960e+03
2.544890e+04 4.956619e+03
2.585260e+04 5.207531e+03
2.626280e+04 5.471327e+03
2.667940e+04 5.748646e+03
2.710270e+04 6.040253e+03
2.753260e+04 6.346791e+03
2.796940e+04 6.669163e+03
2.841310e+04 7.008124e+03
2.886390e+04 7.364627e+03
2.932180e+04 7.739467e+03
2.978700e+04 8.133711e+03
3.000000e+04 8.318874e+03
