# material=polyimide density=-1
# Photon Energy [eV]  Attenuation Length [um]
1.627200e+03 9.919360e+00
1.640300e+03 1.014785e+01
1.653500e+03 1.038178e+01
1.666800e+03 1.062098e+01
1.680200e+03 1.086614e+01
1.693700e+03 1.111632e+01
1.707300e+03 1.137256e+01
1.721000e+03 1.163457e+01
1.734900e+03 1.190412e+01
1.748800e+03 1.218021e+01
1.762900e+03 1.246340e+01
1.777000e+03 1.275376e+01
1.791300e+03 1.305086e+01
1.805700e+03 1.335557e+01
1.820200e+03 1.366624e+01
1.834900e+03 1.398503e+01
1.849600e+03 1.431145e+01
1.864500e+03 1.464473e+01
1.879500e+03 1.498617e+01
1.894600e+03 1.533519e+01
1.909800e+03 1.569354e+01
1.925200e+03 1.605885e+01
1.940600e+03 1.643308e+01
1.956200e+03 1.681622e+01
1.972000e+03 1.720798e+01
1.987800e+03 1.760959e+01
2.003800e+03 1.801752e+01
2.019900e+03 1.843470e+01
2.036100e+03 1.886463e+01
2.052500e+03 1.930631e+01
2.069000e+03 1.975949e+01
2.085600e+03 2.022087e+01
2.102400e+03 2.069633e+01
2.119300e+03 2.118250e+01
2.136300e+03 2.167977e+01
2.153500e+03 2.218948e+01
2.170800e+03 2.271143e+01
2.188300e+03 2.324501e+01
2.205900e+03 2.379243e+01
2.223600e+03 2.435267e+01
2.241500e+03 2.492656e+01
2.259500e+03 2.551336e+01
2.277700e+03 2.611320e+01
2.296000e+03 2.673073e+01
2.314400e+03 2.736227e+01
2.333000e+03 2.800803e+01
2.351800e+03 2.866932e+01
2.370700e+03 2.934734e+01
2.389700e+03 3.004106e+01
2.409000e+03 3.075295e+01
2.428300e+03 3.148021e+01
2.447800e+03 3.222597e+01
2.467500e+03 3.298861e+01
2.487300e+03 3.377108e+01
2.507300e+03 3.457152e+01
2.527500e+03 3.539053e+01
2.547800e+03 3.623439e+01
2.568300e+03 3.709278e+01
2.588900e+03 3.797465e+01
2.609800e+03 3.888201e+01
2.630700e+03 3.980332e+01
2.651900e+03 4.075037e+01
2.673200e+03 4.172047e+01
2.694700e+03 4.271591e+01
2.716300e+03 4.373304e+01
2.738200e+03 4.477028e+01
2.760200e+03 4.584692e+01
2.782400e+03 4.694068e+01
2.804700e+03 4.806549e+01
2.827300e+03 4.920461e+01
2.850000e+03 5.038729e+01
2.872900e+03 5.159285e+01
2.896000e+03 5.283019e+01
2.919300e+03 5.409291e+01
2.942800e+03 5.539312e+01
2.966400e+03 5.672324e+01
2.990300e+03 5.808145e+01
3.014300e+03 5.948241e+01
3.038500e+03 6.090788e+01
3.063000e+03 6.236969e+01
3.087600e+03 6.387340e+01
3.112400e+03 6.540832e+01
3.137400e+03 6.698909e+01
3.162600e+03 6.861535e+01
3.188100e+03 7.025646e+01
3.213700e+03 7.195012e+01
3.239500e+03 7.369851e+01
3.265600e+03 7.546814e+01
3.291800e+03 7.730112e+01
3.318300e+03 7.916971e+01
3.345000e+03 8.106206e+01
3.371800e+03 8.305071e+01
3.398900e+03 8.506436e+01
3.426300e+03 8.712732e+01
3.453800e+03 8.924551e+01
3.481600e+03 9.141583e+01
3.509600e+03 9.366477e+01
3.537800e+03 9.591006e+01
3.566200e+03 9.824619e+01
3.594900e+03 1.006466e+02
3.623800e+03 1.031180e+02
