# material=Nb density=8.57
# Photon Energy [eV]  Attenuation Length [um]
6.695700e+03 5.008989e+00
6.801930e+03 5.231562e+00
6.909830e+03 5.464024e+00
7.019450e+03 5.706799e+00
7.130810e+03 5.960375e+00
7.243940e+03 6.225224e+00
7.358860e+03 6.501829e+00
7.475600e+03 6.790728e+00
7.594190e+03 7.092467e+00
7.714670e+03 7.407627e+00
7.837060e+03 7.736774e+00
7.961390e+03 8.080536e+00
8.087690e+03 8.439579e+00
8.215990e+03 8.814567e+00
8.346330e+03 9.206250e+00
8.478740e+03 9.615328e+00
8.613250e+03 1.004257e+01
8.749890e+03 1.048879e+01
8.888700e+03 1.095486e+01
9.029720e+03 1.144159e+01
9.172970e+03 1.195001e+01
9.318490e+03 1.248096e+01
9.466320e+03 1.303558e+01
9.616500e+03 1.361476e+01
9.769050e+03 1.421966e+01
9.924030e+03 1.485155e+01
1.008150e+04 1.551152e+01
1.024140e+04 1.620068e+01
1.040390e+04 1.692060e+01
1.056890e+04 1.767236e+01
1.073660e+04 1.845761e+01
1.090690e+04 1.927781e+01
1.108000e+04 2.013451e+01
1.125570e+04 2.102887e+01
1.143430e+04 2.196335e+01
1.161570e+04 2.293931e+01
1.180000e+04 2.395876e+01
1.198720e+04 2.502318e+01
1.217730e+04 2.613494e+01
1.237050e+04 2.729637e+01
1.256680e+04 2.850920e+01
1.276610e+04 2.977600e+01
1.296860e+04 3.109891e+01
1.317440e+04 3.248100e+01
1.338340e+04 3.392414e+01
1.359570e+04 3.543146e+01
1.381140e+04 3.700582e+01
1.403050e+04 3.865006e+01
1.425310e+04 4.036753e+01
1.447920e+04 4.216117e+01
1.470890e+04 4.403447e+01
1.494220e+04 4.599104e+01
1.517930e+04 4.803474e+01
1.542010e+04 5.016900e+01
1.566470e+04 5.239824e+01
1.591320e+04 5.472642e+01
1.616570e+04 5.715820e+01
1.642210e+04 5.969768e+01
1.668270e+04 6.235069e+01
1.694730e+04 6.512091e+01
1.721620e+04 6.801449e+01
1.748930e+04 7.103667e+01
1.776680e+04 7.419329e+01
1.804860e+04 7.748969e+01
1.833490e+04 8.093277e+01
1.862580e+04 8.452894e+01
1.892130e+04 8.828495e+01
1.897200e+04 8.894000e+01
1.898290e+04 8.908090e+01
1.898310e+04 1.305065e+01
1.907700e+04 1.322215e+01
1.937960e+04 1.378441e+01
1.968710e+04 1.437061e+01
1.999940e+04 1.498168e+01
2.031670e+04 1.561880e+01
2.063900e+04 1.628293e+01
2.096640e+04 1.697530e+01
2.129900e+04 1.769715e+01
2.163690e+04 1.844972e+01
2.198020e+04 1.923431e+01
2.232890e+04 2.005219e+01
2.268310e+04 2.090486e+01
2.304300e+04 2.179383e+01
2.340850e+04 2.272056e+01
2.377990e+04 2.368682e+01
2.415710e+04 2.469394e+01
2.454040e+04 2.574411e+01
2.492970e+04 2.683872e+01
2.532520e+04 2.798009e+01
2.572690e+04 2.916985e+01
2.613510e+04 3.041028e+01
2.654970e+04 3.170345e+01
2.697090e+04 3.305161e+01
2.739870e+04 3.445701e+01
2.783340e+04 3.592240e+01
2.827500e+04 3.747323e+01
2.872350e+04 3.912119e+01
2.917920e+04 4.084175e+01
2.964210e+04 4.263774e+01
3.000000e+04 4.406032e+01
