# material=Tl density=11.85
# Photon Energy [eV]  Attenuation Length [um]
6.746540e+03 2.484270e+00
6.855650e+03 2.588301e+00
6.966540e+03 2.696790e+00
7.079220e+03 2.809968e+00
7.193720e+03 2.927949e+00
7.310070e+03 3.050888e+00
7.428310e+03 3.179152e+00
7.548450e+03 3.312800e+00
7.670540e+03 3.452089e+00
7.794610e+03 3.597304e+00
7.920680e+03 3.748690e+00
8.048790e+03 3.906596e+00
8.178980e+03 4.071053e+00
8.311260e+03 4.242455e+00
8.445690e+03 4.421139e+00
8.582290e+03 4.607339e+00
8.721110e+03 4.801400e+00
8.862160e+03 5.003408e+00
9.005500e+03 5.214140e+00
9.151160e+03 5.433378e+00
9.299170e+03 5.661994e+00
9.449580e+03 5.900300e+00
9.602420e+03 6.148368e+00
9.757730e+03 6.406798e+00
9.915550e+03 6.675840e+00
1.007590e+04 6.964154e+00
1.023890e+04 7.264752e+00
1.040450e+04 7.578025e+00
1.057280e+04 7.904544e+00
1.074380e+04 8.244769e+00
1.091760e+04 8.599264e+00
1.109420e+04 8.968552e+00
1.127360e+04 9.353157e+00
1.145590e+04 9.753679e+00
1.164120e+04 1.017078e+01
1.182950e+04 1.060503e+01
1.202080e+04 1.105697e+01
1.221530e+04 1.152745e+01
1.241280e+04 1.201685e+01
1.261360e+04 1.252613e+01
1.265740e+04 1.263889e+01
1.265760e+04 5.079495e+00
1.281760e+04 5.259263e+00
1.302500e+04 5.498198e+00
1.323560e+04 5.747915e+00
1.344970e+04 6.009009e+00
1.366720e+04 6.281939e+00
1.388830e+04 6.567298e+00
1.411290e+04 6.865582e+00
1.434120e+04 7.177443e+00
1.457310e+04 7.503426e+00
1.469780e+04 7.682476e+00
1.469800e+04 5.489708e+00
1.480890e+04 5.590530e+00
1.504840e+04 5.811988e+00
1.529180e+04 6.042300e+00
1.534660e+04 6.094859e+00
1.534680e+04 5.336620e+00
1.553910e+04 5.504121e+00
1.579040e+04 5.727671e+00
1.604580e+04 5.961224e+00
1.630540e+04 6.205199e+00
1.656910e+04 6.460002e+00
1.683710e+04 6.726237e+00
1.710940e+04 7.004325e+00
1.738610e+04 7.294763e+00
1.766740e+04 7.598259e+00
1.795310e+04 7.915235e+00
1.824350e+04 8.246417e+00
1.853860e+04 8.592381e+00
1.883840e+04 8.953781e+00
1.914310e+04 9.331358e+00
1.945270e+04 9.725799e+00
1.976740e+04 1.013795e+01
2.008710e+04 1.056849e+01
2.041200e+04 1.101831e+01
2.074210e+04 1.148825e+01
2.107760e+04 1.197927e+01
