# material=Hf density=13.31
# Photon Energy [eV]  Attenuation Length [um]
1.007590e+04 3.270037e+00
1.023890e+04 3.421862e+00
1.040450e+04 3.580723e+00
1.057280e+04 3.746976e+00
1.073930e+04 3.916296e+00
1.073950e+04 2.799322e+00
1.074380e+04 2.802483e+00
1.091760e+04 2.932600e+00
1.109420e+04 3.068758e+00
1.127060e+04 3.208794e+00
1.127080e+04 2.775237e+00
1.127360e+04 2.776978e+00
1.145590e+04 2.891572e+00
1.164120e+04 3.011278e+00
1.182950e+04 3.136360e+00
1.202080e+04 3.266989e+00
1.221530e+04 3.403472e+00
1.241280e+04 3.546022e+00
1.261360e+04 3.694970e+00
1.281760e+04 3.850542e+00
1.302500e+04 4.013097e+00
1.323560e+04 4.182888e+00
1.344970e+04 4.360291e+00
1.366720e+04 4.545613e+00
1.388830e+04 4.739256e+00
1.411290e+04 4.941547e+00
1.434120e+04 5.152915e+00
1.457310e+04 5.373724e+00
1.480890e+04 5.604476e+00
1.504840e+04 5.845533e+00
1.529180e+04 6.097408e+00
1.553910e+04 6.360555e+00
1.579040e+04 6.635522e+00
1.604580e+04 6.922838e+00
1.630540e+04 7.223084e+00
1.656910e+04 7.536765e+00
1.683710e+04 7.864556e+00
1.710940e+04 8.207045e+00
1.738610e+04 8.564930e+00
1.766740e+04 8.938970e+00
1.795310e+04 9.329735e+00
1.824350e+04 9.738125e+00
1.853860e+04 1.016488e+01
1.883840e+04 1.061079e+01
1.914310e+04 1.107679e+01
1.945270e+04 1.156374e+01
1.976740e+04 1.207266e+01
2.008710e+04 1.260445e+01
2.041200e+04 1.316022e+01
2.074210e+04 1.374095e+01
2.107760e+04 1.434790e+01
2.141850e+04 1.498216e+01
2.176500e+04 1.564507e+01
2.211700e+04 1.633777e+01
2.247470e+04 1.706168e+01
2.283820e+04 1.781824e+01
2.320760e+04 1.860891e+01
2.358300e+04 1.943527e+01
2.396440e+04 2.029883e+01
2.435200e+04 2.120138e+01
2.474590e+04 2.214464e+01
2.514620e+04 2.313049e+01
2.555290e+04 2.416068e+01
2.596620e+04 2.523742e+01
2.638610e+04 2.636264e+01
2.681290e+04 2.753883e+01
2.724660e+04 2.876800e+01
2.768730e+04 3.005265e+01
2.813510e+04 3.139535e+01
2.859020e+04 3.279864e+01
2.905260e+04 3.426533e+01
2.952250e+04 3.579822e+01
3.000000e+04 3.740042e+01
