# material=Ta density=16.65
# Photon Energy [eV]  Attenuation Length [um]
8.619920e+03 4.528057e+00
8.719220e+03 4.663318e+00
8.819660e+03 4.802690e+00
8.921260e+03 4.946586e+00
9.024040e+03 5.094588e+00
9.127990e+03 5.247076e+00
9.233150e+03 5.404272e+00
9.339510e+03 5.565953e+00
9.447100e+03 5.732942e+00
9.555930e+03 5.904864e+00
9.666010e+03 6.081833e+00
9.777370e+03 6.264256e+00
9.881000e+03 6.437019e+00
9.881200e+03 2.449005e+00
9.890000e+03 2.455192e+00
1.000000e+04 2.533295e+00
1.011200e+04 2.614472e+00
1.022400e+04 2.698222e+00
1.033900e+04 2.784675e+00
1.045400e+04 2.873956e+00
1.057100e+04 2.966073e+00
1.068800e+04 3.061010e+00
1.080800e+04 3.159070e+00
1.092800e+04 3.260428e+00
1.105390e+04 3.368313e+00
1.113600e+04 3.439916e+00
1.113620e+04 2.445958e+00
1.118120e+04 2.474572e+00
1.131000e+04 2.557675e+00
1.144030e+04 2.643576e+00
1.157210e+04 2.732363e+00
1.168140e+04 2.807452e+00
1.168160e+04 2.497216e+00
1.170540e+04 2.509407e+00
1.184030e+04 2.579003e+00
1.197670e+04 2.650810e+00
1.211460e+04 2.724884e+00
1.225420e+04 2.801370e+00
1.239540e+04 2.880280e+00
1.253820e+04 2.961721e+00
1.268260e+04 3.045751e+00
1.282870e+04 3.132452e+00
1.297650e+04 3.221942e+00
1.312600e+04 3.314280e+00
1.327720e+04 3.409560e+00
1.343010e+04 3.507893e+00
1.358490e+04 3.609391e+00
1.374130e+04 3.714078e+00
1.389960e+04 3.822137e+00
1.405980e+04 3.933672e+00
1.422170e+04 4.048729e+00
1.438560e+04 4.167505e+00
1.455130e+04 4.290050e+00
1.471890e+04 4.416510e+00
1.488850e+04 4.547040e+00
1.506000e+04 4.681726e+00
1.523350e+04 4.820730e+00
1.540900e+04 4.964189e+00
1.558650e+04 5.112233e+00
1.576600e+04 5.265000e+00
1.594770e+04 5.422708e+00
1.613140e+04 5.585442e+00
1.631720e+04 5.753381e+00
1.650520e+04 5.926729e+00
1.669530e+04 6.105612e+00
1.688770e+04 6.290272e+00
1.708220e+04 6.480827e+00
1.727900e+04 6.677510e+00
1.747800e+04 6.880484e+00
1.767940e+04 7.090028e+00
1.788300e+04 7.306256e+00
1.808910e+04 7.529489e+00
1.829740e+04 7.759831e+00
1.850820e+04 7.997620e+00
1.872140e+04 8.243058e+00
1.893710e+04 8.496397e+00
1.915530e+04 8.757914e+00
1.937590e+04 9.027784e+00
1.959910e+04 9.306374e+00
1.982490e+04 9.593954e+00
2.005330e+04 9.890783e+00
2.028430e+04 1.019718e+01
2.051800e+04 1.051346e+01
2.075430e+04 1.083991e+01
2.099340e+04 1.117691e+01
2.123530e+04 1.152481e+01
2.147990e+04 1.188390e+01
2.172740e+04 1.225460e+01
2.197770e+04 1.263723e+01
2.223080e+04 1.303218e+01
2.248690e+04 1.343995e+01
2.274600e+04 1.386089e+01
2.300800e+04 1.429538e+01
2.327310e+04 1.474393e+01
2.354120e+04 1.520697e+01
