# material=La density=6.146
# Photon Energy [eV]  Attenuation Length [um]
5.482800e+03 2.550770e+00
5.489190e+03 2.559152e+00
5.552430e+03 2.643032e+00
5.616390e+03 2.729628e+00
5.681090e+03 2.819056e+00
5.746540e+03 2.911437e+00
5.812740e+03 3.006809e+00
5.879700e+03 3.105329e+00
5.890500e+03 3.121407e+00
5.890700e+03 2.269581e+00
5.947430e+03 2.330066e+00
6.015950e+03 2.404441e+00
6.085250e+03 2.481216e+00
6.155350e+03 2.560435e+00
6.226260e+03 2.642216e+00
6.266200e+03 2.688995e+00
6.266400e+03 2.344469e+00
6.297990e+03 2.373816e+00
6.370540e+03 2.442052e+00
6.443930e+03 2.512432e+00
6.518160e+03 2.585080e+00
6.593250e+03 2.660037e+00
6.669200e+03 2.737418e+00
6.746030e+03 2.817267e+00
6.823740e+03 2.899638e+00
6.902350e+03 2.984662e+00
6.981870e+03 3.072353e+00
7.062300e+03 3.162891e+00
7.143660e+03 3.256295e+00
7.225950e+03 3.352677e+00
7.309190e+03 3.452226e+00
7.393390e+03 3.554925e+00
7.478560e+03 3.660867e+00
7.564720e+03 3.770222e+00
7.651860e+03 3.883052e+00
7.740010e+03 3.999508e+00
7.829180e+03 4.119703e+00
7.919370e+03 4.243746e+00
8.010600e+03 4.371747e+00
8.102880e+03 4.503834e+00
8.196220e+03 4.640228e+00
8.290640e+03 4.780917e+00
8.386150e+03 4.926142e+00
8.482760e+03 5.076043e+00
8.580480e+03 5.230723e+00
8.679330e+03 5.390366e+00
8.779310e+03 5.555233e+00
8.880450e+03 5.725408e+00
8.982750e+03 5.901009e+00
9.086230e+03 6.082199e+00
9.190900e+03 6.269175e+00
9.296780e+03 6.462195e+00
9.403880e+03 6.661503e+00
9.512210e+03 6.867254e+00
9.621790e+03 7.079455e+00
9.732630e+03 7.298536e+00
9.844750e+03 7.524745e+00
9.958160e+03 7.758205e+00
1.007290e+04 7.999205e+00
1.018890e+04 8.247923e+00
1.030630e+04 8.504712e+00
1.042500e+04 8.769740e+00
1.054510e+04 9.043333e+00
1.066660e+04 9.325772e+00
1.078950e+04 9.617315e+00
1.091380e+04 9.918244e+00
1.103950e+04 1.022885e+01
1.116670e+04 1.054955e+01
1.129530e+04 1.088051e+01
1.142540e+04 1.122220e+01
1.155700e+04 1.157491e+01
1.169020e+04 1.193910e+01
1.182490e+04 1.231501e+01
1.196110e+04 1.270300e+01
1.209890e+04 1.310358e+01
1.223820e+04 1.351698e+01
1.237920e+04 1.394386e+01
1.252180e+04 1.438450e+01
1.266610e+04 1.483944e+01
1.281200e+04 1.530903e+01
1.295960e+04 1.579383e+01
1.310890e+04 1.629426e+01
1.325990e+04 1.681090e+01
1.341260e+04 1.734414e+01
1.356720e+04 1.789485e+01
1.372340e+04 1.846311e+01
1.388150e+04 1.904988e+01
1.404150e+04 1.965571e+01
1.420320e+04 2.028099e+01
1.436680e+04 2.092646e+01
1.453230e+04 2.159290e+01
1.469970e+04 2.228088e+01
1.486910e+04 2.299119e+01
1.504040e+04 2.372439e+01
1.521360e+04 2.448119e+01
1.538890e+04 2.526267e+01
1.556620e+04 2.606942e+01
1.574550e+04 2.690213e+01
1.592690e+04 2.776181e+01
1.611040e+04 2.864940e+01
1.629600e+04 2.956563e+01
1.648370e+04 3.051139e+01
1.667360e+04 3.148774e+01
1.686570e+04 3.249585e+01
1.705990e+04 3.353616e+01
1.725650e+04 3.461062e+01
1.745530e+04 3.571950e+01
1.765630e+04 3.686412e+01
1.785980e+04 3.804610e+01
1.806550e+04 3.926612e+01
1.827360e+04 4.052549e+01
1.848410e+04 4.182560e+01
1.869710e+04 4.316781e+01
1.891240e+04 4.455317e+01
1.913030e+04 4.598338e+01
1.935070e+04 4.746004e+01
1.957360e+04 4.898401e+01
1.979910e+04 5.055752e+01
2.002720e+04 5.218172e+01
2.025790e+04 5.385824e+01
2.049130e+04 5.558907e+01
2.072730e+04 5.737574e+01
2.096610e+04 5.922009e+01
2.120760e+04 6.112374e+01
2.145190e+04 6.308895e+01
2.169910e+04 6.511777e+01
2.194900e+04 6.721176e+01
2.220190e+04 6.937330e+01
2.245760e+04 7.160446e+01
2.271630e+04 7.390791e+01
2.297800e+04 7.628524e+01
2.324270e+04 7.873952e+01
2.351050e+04 8.127281e+01
2.378130e+04 8.388755e+01
2.405530e+04 8.658684e+01
2.433240e+04 8.937275e+01
2.461270e+04 9.224882e+01
2.489630e+04 9.521744e+01
2.518310e+04 9.828089e+01
2.547320e+04 1.014438e+02
2.576660e+04 1.047077e+02
2.606340e+04 1.080767e+02
2.636370e+04 1.115552e+02
2.666740e+04 1.151444e+02
2.697460e+04 1.188500e+02
2.728530e+04 1.226734e+02
2.759970e+04 1.266212e+02
2.791760e+04 1.306954e+02
2.823920e+04 1.348995e+02
2.856450e+04 1.392399e+02
2.889360e+04 1.437190e+02
2.922640e+04 1.483418e+02
2.956310e+04 1.531140e+02
2.990370e+04 1.580387e+02
3.000000e+04 1.594498e+02
