# material=Pb density=11.34
# Photon Energy [eV]  Attenuation Length [um]
1.766740e+04 7.702937e+00
1.795310e+04 8.021965e+00
1.824350e+04 8.355286e+00
1.853860e+04 8.703481e+00
1.883840e+04 9.067217e+00
1.914310e+04 9.447214e+00
1.945270e+04 9.844194e+00
1.976740e+04 1.025899e+01
2.008710e+04 1.069229e+01
2.041200e+04 1.114499e+01
2.074210e+04 1.161792e+01
2.107760e+04 1.211207e+01
2.141850e+04 1.262833e+01
2.176500e+04 1.316779e+01
2.211700e+04 1.373133e+01
2.247470e+04 1.432016e+01
2.283820e+04 1.493540e+01
2.320760e+04 1.557826e+01
2.358300e+04 1.624998e+01
2.396440e+04 1.695176e+01
2.435200e+04 1.768509e+01
2.474590e+04 1.845138e+01
2.514620e+04 1.925211e+01
2.555290e+04 2.008870e+01
2.596620e+04 2.096294e+01
2.638610e+04 2.187638e+01
2.681290e+04 2.283096e+01
2.724660e+04 2.382846e+01
2.768730e+04 2.487079e+01
2.813510e+04 2.595993e+01
2.859020e+04 2.709813e+01
2.905260e+04 2.828744e+01
2.952250e+04 2.953031e+01
3.000000e+04 3.082906e+01
